professor,comment,rating
Gretchen Adams,"Seriously--Gretchen is the best teacher ever. She is not easy, she challenges you. But she is so passionate about what she does and that energy is transferred to her students (ironic) but really, BEST PROFESSOR EVERRRR",5.0
Gretchen Adams,She makes the class a lot of fun and interesting to learn! She was my favorite teacher!,4.5
Gretchen Adams,Didn't like chemistry before I had her.. great teacher!,5.0
Gretchen Adams,i love gretchen. she is so fun and makes the class interesting. i hate chemistry but she got me to love it! i'd recommend her class to anyone !!!,5.0
Gretchen Adams,She made my college experience as a freshman great! I will miss her!,5.0
Gretchen Adams,Best chemistry teacher ever! And she really cares about how her students do. She's really helpful when you ask her for help. I wish she taught other chem classes!,5.0
Gretchen Adams,"She is honestly one of the best teachers I've ever had! She explains things so well, and does all kinds of awesome experiments and demonstrations during lecture!",5.0
Gretchen Adams,she could teach an animal to understand chemistry,5.0
Gretchen Adams,"Because this class requires very little chemistry knowledge, it was a fun and easy course. Attending and writing the labs were a bit long but they were not hard at all. Gretchen was very helpful and super nice! I recommend this course to all education majors who need a physical science for their gen eds!",5.0
Gretchen Adams,"Professor Adams is an amazing teacher. Her lectures are amazing especially the demonstrations (although mind you if you don't like explosions, sit in around the middle). If you do well on her exams, she will even email you a congratulations. Only thing I wish she could do is to teach higher level Chemistry courses.",5.0
Gretchen Adams,"Very good teacher!! She explains things very well, which made the class easy. Shes always willing to help, shes funny,and super nice.  I actually liked going to lecture. She's one of the best teachers I've ever had. If you are going to take chem 101, register for her lecture!",5.0
Gretchen Adams,"Very good teacher!! She explains things very well. Shes always willing to help, shes funny,and super nice.  I actually liked going to lecture. She's one of the best teachers I've ever had.If you are going to take chem 101, pick her for your professor",5.0
Gretchen Adams,Very easy to understand,5.0
Gretchen Adams,"Gretchen is, by far, one of the best teachers I've ever had. She loves what she does and really cares about her students. Lecture is always exciting. Perfect class for my freshman year!",5.0
Gretchen Adams,thee best science teacher ever,5.0
Gretchen Adams,Very fun!,5.0
Gretchen Adams,She is a great teacher.  She really cares about her students and wants to make sure we understand everything.  She is also hilarious.,5.0
Gretchen Adams,"Gretchen is an aweesome professor. You never get bored in her class, she always keeps you on your toes. When you least expect it, she will make something explode...",5.0
Gretchen Adams,"Gretchen is definitely my favorite teacher by far. She was really helpful, loved what she was teaching (shown through exploding things), and very knowledgeable of each subject. The tests were challenging, but not bad at all. This class really prepared me for higher chemistry classes.",5.0
Gretchen Adams,Excellent at explaining concepts clearly. Very helpful and made chem interesting and fun!,5.0
Gretchen Adams,Gretchen is by far the best chem teacher I have ever had! She explains the material so well. I don't even like chemistry but she makes it very interesting. She is always blowing things up in class and she makes it a lot of fun.,5.0
Gretchen Adams,She's awesome!,5.0
Gretchen Adams,"Very helpful.....always willing to take extra time out of her busy schedule to help.  Her lectures were huge but very funny and entertaining.  The tests were somewhat difficult, but that also depends on how much you enjoy chemistry...Great Teacher!",5.0
Gretchen Adams,She is a great teacher always willing to help,5.0
Gretchen Adams,I love Gretchen! She is so cute and funny and makes chemistry fun. She very clearly explains everything and is very happy to teach and help. Overall awesome teacher.,5.0
Gretchen Adams,amazing! Best chemistry teacher I ever had!,5.0
Gretchen Adams,Awesome!,5.0
Gretchen Adams,Awesome teacher! Loved every minute of it.,5.0
Gretchen Adams,Awesome teacher! Explains everything in detail I never had a hard time in the class.,5.0
Gretchen Adams,"Just an amazing all around teacher. Nice, interesting, loves to blow things up.",5.0
Gretchen Adams,Gretchen is an amazing teacher! She explains everything extremely well in lecture. She is available after class to talk and she also has office hours.,4.0
Gretchen Adams,Great,5.0
Gretchen Adams,She is really good. Go to her office hours if needed.,4.5
Gretchen Adams,"amazing...i beyond failed my first exam and kept going to her for help...ended up with an A...She gets to know her students and tells you exactly what to study. You have to work, but you will learn the material and love Gretchen!",5.0
Gretchen Adams,DEMOS ARE THE BEST,4.0
Gretchen Adams,"easy to understand, kept class interesting which helped you understand, not much homework and fair grading great class!",5.0
Gretchen Adams,"Most enthusiastic teacher ever.  Made chemistry interesting. Lab questions are challenging, but worth spending time on because the tests aren't easy either.  Very good with curving to make grades more favorable.",5.0
Gretchen Adams,She's probably one of my most favorite teachers that I ever had. She is very helpful and makes chemistry very interesting. She's very energetic and teaches well.,5.0
Gretchen Adams,No Comments,5.0
Gretchen Adams,"I used to hate chem, but she made the class really fun and easy to understand. Def. recommend!",5.0
Gretchen Adams,Blows stuff up! COVER YOUR EARS!!!,5.0
Gretchen Adams,She's very fun and keeps it interesting!,5.0
Gretchen Adams,No Comments,4.5
Gretchen Adams,"Great teacher, explains things really well and loves to blow stuff up.  She's always willing to help you and wants her students to get good grades.",5.0
Gretchen Adams,Great teacher Very helpful and understanding. Very clear. Awesome teacher.,5.0
Gretchen Adams,"She is very knowledgeable with her subject and does a great job presenting her lecture and what she wants us to understand.  If you ever need help, she is always there.  The best part is she loves to blow stuff up in class, so there is no falling asleep in this class.",5.0
Gretchen Adams,"Great teacher! she takes time explaining his reasonings until you get it, she deserves an A+++, go to her office hours, even more helpful!!",4.5
Gretchen Adams,amazing teacher. go to her office hours if you need anything. she's so helpful,5.0
Gretchen Adams,No Comments,5.0
Gretchen Adams,No Comments,5.0
Gretchen Adams,she is such a good teacher and explains thigns so clearly!,5.0
Gretchen Adams,No Comments,5.0
Gretchen Adams,She is a very nice professor who really tries to get you to understand the material. The test aren't easy but not impossible and like everyone fails them but she curves them so like a 20% is a B+ so don't worry. Good class,5.0
Scott Ahlgren,"Prof. Ahlgren was so, so nice and patient. One time, I submitted the wrong homework assignment, and he let me turn it in 3 days later for full credit! He's very compassionate and kind. Amazing professor.",5.0
Scott Ahlgren,Gem of a teacher. Lectures are extremely helpful and develop both theory and problem-solving techniques. He's always ready to help his students and goes the extra mile. Would highly recommend!,5.0
Scott Ahlgren,"Prof. Ahlgren really cares about teaching. His lectures contain his own understanding to the topic. Exams are not hard. He gives a lot of office hours, around three or four hours per week, and he is quite friendly during office hours.",5.0
Scott Ahlgren,"Ahlgren is an awesome professor. He actually made calc 2 a great way to start the day. Lectures were some derivations and tons of examples, which is exactly what you need for the class. Not to mention, he's got a great sense of humor and is pretty down-to-earth, though he is really quirky, even bordering on awkward. Good guy, great teacher.",5.0
Scott Ahlgren,Do the extra practice problems in the book  A's on the midterms,5.0
Scott Ahlgren,"Great professor even though the course can be tough for a lot of people. It's really important to study in this class, this is a subject that can trip people up, and a lot of difficult problems can show up on exams and get you. Funny guy too",5.0
Scott Ahlgren,"He's a really really great professor! In the beginning, it was hard to keep up with what he was doing but as time went  on, I eventually got used to the fast pace of the course. Make sure you do the homework and use the office hours. And make sure you STUDY! Can't emphasize how many points I got off for silly mistakes on the exams.",5.0
Scott Ahlgren,He's really funny and loves what he does.,5.0
Scott Ahlgren,He is a good lecturer. He is a really fair grader and explains every topic fairly clearly. I would recommend him if you are planning to take calc 2. He is also hilarious. Would recommend him for sure.,4.0
Scott Ahlgren,Professor Ahlgren is amazing!  He is really funny and makes math lecture an extremely pleasant place to be.  He is definitely the best choice for a Calc 2 professor.  I strongly recommend him.  He gives lots of good examples and explains everything very clearly!,5.0
Scott Ahlgren,He is the best math professor I have ever met. I love his lectures and he makes me really like math.,5.0
Scott Ahlgren,"Lectures are hilarious! He really tries to get you interested in class with his many jokes (some self-depreciating). Really helpful prof, test not so hard. Got calc 2? Save urself by takin this prof.",5.0
Scott Ahlgren,Best Cacl II professor in this university!! Just take his class.,5.0
Scott Ahlgren,"Great professor, had him for calc 2 made it enjoyable with jokes and made himself available  for students all the time.",4.5
Scott Ahlgren,"His lectures are funny and self-deprecating. He goes out of his way to add extra office hours. He discourages rote memorization in favor of being able to work out the formulas you need.  Great prof, very likable.",5.0
Scott Ahlgren,"This class is only easy if you actually do the work--there are online problems twice a week at most and they take about 2 hours, less if you know what you're doing/doing it with other people. Lectures are actually fun; he's funny so he keeps you engaged",4.5
Scott Ahlgren,He is clear when he teaches the material and makes it fun with his sense of humor.,4.0
Scott Ahlgren,"Very clear and very nice guy. He goes through examples well! Tests are manageable, and sometimes curves.",4.0
Scott Ahlgren,Great guy. Tells bad jokes all the time. The lectures are well-organized. Attendance is not required and not much homework. He is kind and reasonable.,4.5
Scott Ahlgren,"He is a very engaging professor, and his lectures are very easy to understand.",5.0
Scott Ahlgren,"His lecture is truly superior to other professors in the department. It truly is worthwhile to go and is rarely booring. He is easier than Murphy 220 in my opinion. He does not reach out as much as Murphy did, but he provides an excellent tutoring center hosted by the TA's. Do the webassign review for exams, very similar.",4.5
Scott Ahlgren,Ahlgren is very funny and teaches the concepts in a way that is easy to understand. If you do the homework and attend lectures the course won't be hard.,5.0
Scott Ahlgren,He's humorous and explains things quite well.,4.5
Scott Ahlgren,"overall, this is a doable class. alhgren teaches in way everyone can understand. the online hw is very easy and actually helpful. tests are easy considering the difficulty level of the material you are learning. only problem is the quizzes- one per week on material you just learned. if you prepare for those a small amount, you'll do fine",4.5
Scott Ahlgren,Great professor!! The classes are very interesting. The professor is very funny and helpful. So is my TA. The class is not that hard if you read the book and go to lecture.,5.0
Scott Ahlgren,I love my life after taking his class. He's the best teacher ever. He makes math fun!!,5.0
Scott Ahlgren,"Material is taught in an organized and understandable manner, with lots of bright chalk. Exams fairly test the material covered in lecture/discussion. Homework & discussions are helpful and doable. Questions are answered in a clear way. Lectures are fun and entertaining. Take his class and you will love yourself. And join the facebook fan club!",5.0
Scott Ahlgren,Nice and entertaining teacher.  Online homework are easy points and written homework isn't too bad either.  Exams cover material from class and homework and are very fair.,4.5
Scott Ahlgren,Nice and helpful teacher. Go to his office hours. But classes can be tough. Toughes class in cal II.,4.0
Scott Ahlgren,Teaches the class very well and always answers students' questions during lecture. Has a pretty good sense of humor as well. Wish he tough all the math classes.,4.5
Scott Ahlgren,Best math teacher I've ever had! Explains everything well and in an entertaining manner. Made math easier and more fun than ever before!,5.0
Scott Ahlgren,"Ahlgren is great.  But calc 2 is difficult regardless of who you get.  But if you are able to, definitely get ahlgren over anyone else.  He is a funny guy, doesn't have a foreign accent, and is good at making things clear.",5.0
Scott Ahlgren,Best math teacher I've ever had.,5.0
Scott Ahlgren,"take his class, and you will feel Math is wonderful. I will request everyone to take his class!!!!",5.0
Scott Ahlgren,He's the best math teacher ive ever had....and he's a babe,5.0
Scott Ahlgren,He is awesome!!!Take his class!!!,5.0
Scott Ahlgren,"This man is a genius, interesting, funny, all around awesome.  I loved going to lectures.  Don't get me wrong though, it was a hard class and required a lot of studying (it was the engineering section of calc II though).  He is even mentioned in the wikipedia page about number theory.  TAKE THIS MAN'S CLASS!!!",5.0
Scott Ahlgren,He's a great professor. I was doing terrible in the class and the only reason I didn't drop it was because of him. Turned out to be a really good class.,4.0
Scott Ahlgren,nice professor!,5.0
Scott Ahlgren,Oh if only you knew...,4.0
Scott Ahlgren,"AMAZING professor! The best I've ever had. He has a great sense of humor, keeps the class entertained and is passionate about calculus... Which makes it a little more fun to study.",5.0
Scott Ahlgren,Excellent professor.  Makes the lectures somewhat funny with lots of nerdy jokes.  Explains things very well but it is a fairly difficult yet very reasonable class.  There ended up being a pretty big curve at the end.  It's good to go to the lectures even though there aren't any quizzes or anything.  Overall a good class and good professor.,4.5
Scott Ahlgren,Very good lecturer.  He is funny.  He is smart.  He is very clear.  But his classes are quite challenging.  NOT an easy A at all.  I highly recommend you guys take his lecture.,4.0
Scott Ahlgren,"Good teacher and good guy.  This was my first semester of college and I could tell he really wanted to help me and the rest of his students.  Class is tough, but he always makes himself available.",4.0
Scott Ahlgren,Very enthusiastic and willing to explain unclear problems.  Very knowledgeable and actually wants to teach.,5.0
Scott Ahlgren,"By far one of the best professors I had at U of I. I went into this class with 0 background on calc. I walked out with a B. That B was because of his great teaching, humorful attitude, and clarity in explanations. If you put the time in, he puts the time in. Take it as a discovery course is he still teaches. You get your tuition worth with Prof A.",5.0
Scott Ahlgren,"Wants his students to succeed. The class I took was about 20 kids and met for 7 hours a week, but it was time well spent. The practice exams are EXACTLY like the real ones, and with a decent amount of effort you can get an A. Best teacher I've had at U of I. Very helpful and I loved the math jokes. Take this class!",5.0
Scott Ahlgren,"Very clear and motivating.  A lot of work but that's the same with any calc class. i recommend him, especially for the First Year Discovery class for freshman.",4.5
Scott Ahlgren,"Good teacher, but lacks confidence that kinda effects his teaching a bit.  Exams are more difficult than most teachers'.",4.0
Scott Ahlgren,"Awesome teacher, sadly has a little too much math humor but it's funny to hear what he has to say, very helpful and stresses important points!",5.0
Scott Ahlgren,"Awesome teacher, explains concepts well. Exams and quizzes reflected homework assignments. Quite possibly the best math professor I've had to date.",5.0
Iftikhar Ahmed,Good prof. Bit of an accent,4.0
Iftikhar Ahmed,"Prof. Ifti will work with you and try his best to explain the concepts to us. He will ask test questions that are directly based on lecture, so it's recommended that you go. The tests aren't that hard, but studying for it will help you a lot in the long run (for the final exam).",4.0
Iftikhar Ahmed,A great professor overall. Tests compose a huge portion of the course grade but the midterms were pretty straight forward. The final exam was a bit difficult but the class was curved.,4.0
Iftikhar Ahmed,"I have taken business calculus twice. The first time was with murphy. The grading criteria for the class was just quizzes and test. With Ahmed, he allows discussion participation and hw credit. Ahmed's exams in my opinion were a lot easier then Murphys. In addition he curved the final exam and the class which murphy didn't. Worth taking with Ahmed",4.0
Iftikhar Ahmed,"We had a small scale class- about 20 students, so he really got to know us personally. When other 231 TAs graded by accuracy on discussion questions, he just graded by effort and attendence. He is good at explaining things in lectures at least for me. To sum up, kind. I would recommend you take his class.",5.0
Abdussalam Alawini,"Prof. Alawini definitely knows how to run a course. The course is extremely organized and he continuously takes feedback even during the middle of the semester. However, I found this course to have quite heavy workload. On top of the big project, time consuming homeworks kept coming each week as well as prelecture-vids, in-class activities, quizzes",4.0
Abdussalam Alawini,"Willing to discuss class structure outside of class, accessible. Group project - start early (not hard, but very stressful if delayed)! Class is easy. Textbook is rarely required. Homework wasn't too long / difficult. Covers 3 different types of databases types. Strongly recommend any CS student to take as the material of the class is important.",5.0
Abdussalam Alawini,"Prof. Alawini is a humor professor really helps students. The class is very useful and colorful. I really appreciate his patience and instruction for the whole semester. He helped me at the beginning of this semester. When I said ""thank you"" to him, he is so kind and said, ""good luck"". Best wishes to you, Abud and CS411 Database Systems!",5.0
Abdussalam Alawini,"Quite honestly the most effective course I've taken at the U of I, thanks to Prof. Abdu. Not only is he hilarious, but his lectures are extremely clear and he's very approachable before and after class. The lectures are faster-paced, so you may benefit from reading the textbook beforehand. Not mandatory, though. AND he memorized our names! WHAAT",5.0
Abdussalam Alawini,He is very responsible and kind. Always willing to help. The lectures are interesting and helpful and I truly recommend this class!,5.0
Abdussalam Alawini,Excellent prof!!!,5.0
Abdussalam Alawini,"Professor Abdu very well knowledgeable in his field and is also very approachable. He takes immense feedback from his students and changes the course to make sure that all of the concerns people have are taken care of. Take his class if you decently challenging class with a great professor, take his class.",5.0
Abdussalam Alawini,"I have both been a student and a TA for this class. When I took this course as a student, I felt the course was challenging. When I worked as a TA for this course, I got to know how much effort the instructors have put into this course(Yes, we put A LOT OF time into this course). Abdu is a passionate, hard-working, and caring professor.",5.0
Abdussalam Alawini,Gives off good vibes. Very nice guy too and he teaches the class pretty well.,5.0
Abdussalam Alawini,"Amazing professor. One of the first professors that I've had that actually attempts to connect with his class in ways that aren't just related to the material. I would highly recommend anyone take a class with him if they have the chance! Abdu has clear lesson plans, clear grading criteria, and makes sure to adjust deadlines if needed",5.0
Abdussalam Alawini,"Abdu is nothing but helpful. I would give nothing but respect for this man. His teaching style reminds me every day of what it means to be an engineer. His work ethic, his character, his respect for truly teaching students-all of it creates an atmosphere of constant inspiration. Especially with the times of this semester, Abdu carried me threw it.",5.0
Abdussalam Alawini,"Honestly Abdu is the ultimate homie. He is funny, smart, and actually wants his students to succeed. HW is fair and greatly prepares you for the exams. Also the final project really can be awesome if you want it to be. I've seen few other professors take feedback as seriously as Abdu. He wants his class to be top tier, and frankly, it is.",5.0
Abdussalam Alawini,"To put it shortly, Abdu is an amazing professor who makes the learning environment feel fresh with his character. He gives a lot of opportunities to help you understand the material better and provides extra credit to help students out. Homework may seem heavy but is easily doable with the appropriate time and effort.",5.0
Abdussalam Alawini,"Best course taken so far as CS Graduate student at UIUC. If I happen to become a professor, I'd like to be as empathetic and approachable as he is. He LISTENS to students, and is always happy to help! He is the best professor. Period.",5.0
Abdussalam Alawini,"A professor who really cares students, making you feel so worthy devoting your time to the class, having jokes and activities in class which help you focus, one of the best teachers I've ever had.",5.0
Abdussalam Alawini,"Feel the Prof really cares about students and helpful. The exam was okay, similar to the examples and homework. But the group project is heavy.",5.0
Abdussalam Alawini,"Well Organized class. Great Professor, very clear. The only complaint is that this class further facilitates the scam that is the IClicker. Shame on you UIUC",5.0
Abdussalam Alawini,Fantastic professor. Honestly one of my favorite teachers I've had during college. Really listens to feedback and seems to care about his students and the class,5.0
Abdussalam Alawini,Great professor and great guy overall. Tries to keep lectures interesting with stories and jokes.,5.0
Abdussalam Alawini,"Honestly as a person who wishes to teach one day, Abdu is a role model for me. He is the perfect example of how a professor truly cares about his students. The course so far is great! It covers almost all the essentials you need to learn about database systems.",5.0
Abdussalam Alawini,Great professor who genuinely cares about student feedback and is very approachable outside of class.,5.0
Abdussalam Alawini,Cares about feedback from students and a great and compassionate professor. Definitely very approachable.,5.0
Abdussalam Alawini,"Abdu is so cute and passionate. Jokes aside, definitely approachable after class if you need help, he listens to feedback and really wants his students to get their money's worth.",5.0
Abdussalam Alawini,"Abdu is a great professor. You can tell that he cares a lot about the subject and his students. It's a huge class and he does his best to make everyone feel welcome. Some other students seem to dislike his humor and the way he makes class interactive, but honestly I think its refreshing to have a CS professor who cares as much as he does.",5.0
Abdussalam Alawini,"This is the first course i've taken in CS department, this is a very good fundamental course even though it's in 4 level. He cares about students, tried very hard to answer every single question, even made a video after class when he finds out most of us cannot figure out some concepts in class. Highly recommend! Best professor I've ever met.",5.0
Abdussalam Alawini,"Best professor in UIUC. He answers more than 70% questions on piazza, and he really takes efforts. Homework is not easy, but not taking much time. Project has few restrictions, good chance to open your mind. Review sessions (most from TA) are also helpful, which save your time on homework and exam. Class is interesting and clear. Again, best prof.",5.0
Abdussalam Alawini,Abdu is the man! I've never seen a professor care so much for student's success. I definitely recommend taking him for 411 as he is very knowledge and makes the course very relevant by teaching us NoSQL as well.,5.0
Abdussalam Alawini,Best cs prof I ever met in UIUC.,5.0
Abdussalam Alawini,Professor Alawini truly cares about his students. This may seem cliche but he will actually listen to his students and actively make the class better as the semester progresses so his students get the most out of the class.,5.0
Abdussalam Alawini,"Prof Abdu cares about his students! Really great experience taking the course with him! Even though the exams and home works were tough, prof Abdu is one of the best professors I've ever had.",5.0
Abdussalam Alawini,"Professor Abdu is a great instructor who cares about his students and enjoys teaching. He is open to honest and critical feedback, continuously trying to improve his classroom experience. He likes his students to engage during lectures, often through Q&As. He tends to be quite active on Piazza, answering student queries. You won't be disappointed!",5.0
Abdussalam Alawini,Great professor that listen to student's feedback,5.0
Abdussalam Alawini,"My first rating on this website. Prof. Abdu is a fantastic teacher and a really nice person. Exams and homeworks were hard, but I did learn a lot. I would encourage you to go to his lecture. Hes very passionate in his lecture and he can remember your name if you ask/answer a bunch of good questions.",5.0
Todd Allee,"Need to do a ton of reading, attendance is taken every section, often in lecture. Exams are tricky but manageable.",5.0
Todd Allee,"sorry, wrong section i put for the last one",4.5
Todd Allee,This guy was great.  His lectures were entertaining and the material was very interesting.  Highly recommended.,5.0
Todd Allee,"All around unimpressive. Course material is a very basic introduction to International Relations, nothing complex. If you're into IR, it won't be anything new. Midterm was easy and final was so-so. His lectures are boring at times, and he doesn't use the 30 pages of readings assigned for each class in his lectures.",4.0
Todd Allee,"Obviously, this class isn't hard if you keep up with the reading- however, be warned that there is a lot of reading and you will be tested on it on the exam. Doesn't give any study guides either.",4.5
Todd Allee,"This is a great class that covers a broad range of topics.  He can sometimes be repetitive, but is overall very clear.  The readings are generaly interesting, but there can be a lot and it's easy to fall behind.  Doing the readings helps a lot on the final and makes lectures/discussions more interesting.",5.0
Todd Allee,"Great professor, interesting and engaging.  Class also has great TAs.  A lot of work at times, but work is related and worth it.",5.0
Todd Allee,"Very fun professor; he's extremely enthusiastic about his course. The lectures were interesting and insightful. I'd only take it if you have some interest in current political topics, otherwise it could be boring.",5.0
Todd Allee,"Explains stuff very well, but midterm covers extremely specific multiple choice questions. Essays aren't too bad. Study long and hard for multiple choice, including particular names of particular treaties and agreements and such.",5.0
Todd Allee,Very entertaining teacher.  Got me interested in intl politics.  Good at explaining things.  Midterm is tough but definitely doable if you pay attention.  Highly recommended for sure!,5.0
Todd Allee,"Entertaining guy- the exams are long and challenging, but it's worth taking.",4.0
Todd Allee,Awesome. tough midterm though. Papers easy,5.0
Todd Allee,I loved the class.  I would highly suggest it.,5.0
Todd Allee,"Knowledgeable professor with genuine interest in his field. However, he seems to work against his students instead of with them. Assuming kids are always trying to cut corners, he refuses to post even partial notes online, so those who attend lecture scramble to write everything down with little attention to what he's actually saying. Exams tough.",4.0
Todd Allee,Awesome teacher.  Clear and factual.  Best Polisci professor I have had here.,4.5
Todd Allee,Made the class fun and interesting.,5.0
Todd Allee,"Great Guy, brings a lot of outside information into lecture - makes class very interesting. Very recommended!",5.0
Todd Allee,"Great guy, great teacher; one of the best at U of I.",5.0
Todd Allee,"Professor Allee always made lecture interesting, informative, and as much as he could, fun.  He's a super nice guy to get to know as well. Definitely recommended.",5.0
Todd Allee,"Really knowledgable and led great discussions, even in my large lecture. He lets you express your opinion and will help you apply it to real world situations, one of the best classes ever.",5.0
Stephen Altaner,Love this professor! He makes long lectures about rocks fun and I always appreciated his comic strip breaks! Also has a cute dog that he keeps in his office. Never forget your clicker for this class.,5.0
Stephen Altaner,"Professor Altaner is very organized and has the entire week planned out on Moodle, so it is easy to get ahead! The course was a lot of work, simply because it was only 8 weeks. Overall, it was easy and manageable.",5.0
Stephen Altaner,GEOL 118 was the best class I've taken on campus. Altaner is the coolest guy and gives a ton of extra credit opportunities. The exams aren't hard if you go to the review sessions because he goes over a lot of test questions and do the practice quizzes. If I could take this class every semester...I would,5.0
Stephen Altaner,Profesor Altaner was a great teacher. I always looked forward to hearing his jokes at the beginning of the class. He brings props in to class to further explain things and he makes a lot of jokes throughout class. Very interesting class.,5.0
Stephen Altaner,"Professor Altaner is a great professor! He makes all of his classes fun, yet challenging. Definitely recommend.",5.0
Stephen Altaner,"The class was out of 1000 points and there were 100 extra credit points offered. Professor tells great dad jokes and shows lots of far side cartoons in class. Lots of lectures but is worth going to, the class is pretty easy there are only three tests.",5.0
Stephen Altaner,The professor is really great.,5.0
